GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long
1163018240,20240311,202403,2024,2024.1945,CAN,SASKATCHEWAN,CAN,,,,,,,,,,,,,,,,,,0,190,190,19,4,-10.0,8,1,8,-0.45731707317073,4,"Saskatchewan, Manitoba, Canada",CA,CA03,52.15,-97.7167,-575075,0,,,,,,,4,"Saskatchewan, Manitoba, Canada",CA,CA03,52.15,-97.7167,-575075,20240311,https://leaderpost.com/opinion/columnists/murray-mandryk-warning-letters-reveal-sask-partys-selective-hearing
1163040335,20240311,202403,2024,2024.1945,MIL,FIGHTER JET,,,,,,MIL,,,,,,,,,,,,,0,190,190,19,4,-10.0,1,1,1,-3.38130914826499,4,"Sderot, HaDarom, Israel",IS,IS01,31.525,34.5969,-781317,0,,,,,,,4,"Jerusalem, Israel (general), Israel",IS,IS00,31.7667,35.2333,-797092,20240311,https://www.terrorism-info.org.il/en/operation-iron-swords-updated-to-1-p-m-march-10-2024/
1163040336,20240311,202403,2024,2024.1945,MIL,FIGHTER JET,,,,,,MIL,,,,,,,,,,,,,0,190,190,19,4,-10.0,1,1,1,-3.38130914826499,4,"Khan Yunis, Gaza Strip (general), Gaza Strip",GZ,GZ00,31.3402,34.3063,-797165,0,,,,,,,4,"Khan Yunis, Gaza Strip (general), Gaza Strip",GZ,GZ00,31.3402,34.3063,-797165,20240311,https://www.terrorism-info.org.il/en/operation-iron-swords-updated-to-1-p-m-march-10-2024/
1163040337,20240311,202403,2024,2024.1945,MIL,FIGHTER JET,,,,,,MIL,,,,,,,,,,,,,0,195,195,19,4,-10.0,1,1,1,-3.38130914826499,4,"Sderot, HaDarom, Israel",IS,IS01,31.525,34.5969,-781317,0,,,,,,,4,"Sderot, HaDarom, Israel",IS,IS01,31.525,34.5969,-781317,20240311,https://www.terrorism-info.org.il/en/operation-iron-swords-updated-to-1-p-m-march-10-2024/
1163040338,20240311,202403,2024,2024.1945,MIL,FIGHTER JET,,,,,,MIL,,,,,,,,,,,,,0,195,195,19,4,-10.0,1,1,1,-3.38130914826499,4,"Khan Yunis, Gaza Strip (general), Gaza Strip",GZ,GZ00,31.3402,34.3063,-797165,0,,,,,,,4,"Khan Yunis, Gaza Strip (general), Gaza Strip",GZ,GZ00,31.3402,34.3063,-797165,20240311,https://www.terrorism-info.org.il/en/operation-iron-swords-updated-to-1-p-m-march-10-2024/
1163048397,20240210,202402,2024,2024.1096,NGOHRIHRW,HUMAN RIGHTS WATCH,,HRW,,,,NGO,HRI,,CRM,CRIMINAL,,,,,,CRM,,,1,181,181,18,4,-9.0,5,1,5,-2.10084033613445,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,20240311,https://georgiatoday.ge/20-days-in-mariupol-becomes-the-first-ukrainian-film-to-win-oscar/
1163049706,20240311,202403,2024,2024.1945,MIL,FIGHTER PLANE,,,,,,MIL,,,RUS,RUSSIAN,RUS,,,,,,,,1,194,194,19,4,-10.0,8,1,8,-2.93594306049822,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20240311,https://www.adn.com/nation-world/2024/03/11/russias-air-power-roars-back-into-the-war-with-devastating-guided-bombs/
1163049776,20240311,202403,2024,2024.1945,NGOHRIHRW,HUMAN RIGHTS WATCH,,HRW,,,,NGO,HRI,,CRM,CRIMINAL,,,,,,CRM,,,1,181,181,18,4,-9.0,5,1,5,-2.10084033613445,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,20240311,https://georgiatoday.ge/20-days-in-mariupol-becomes-the-first-ukrainian-film-to-win-oscar/
1163065768,20240311,202403,2024,2024.1945,BUS,AIRLINE,,,,,,BUS,,,DOM,DOMINICAN REPUBLIC,DOM,,,,,,,,0,172,172,17,4,-5.0,6,3,6,-8.45065107478757,4,"Port-Au-Prince, Ouest, Haiti",HA,HA11,18.5392,-72.335,-70311,4,"Port-Au-Prince, Ouest, Haiti",HA,HA11,18.5392,-72.335,-70311,1,Dominican Republic,DR,DR,19.0,-70.666667,DR,20240311,https://www.miragenews.com/un-security-council-denounces-surge-in-haiti-1192135/
1163065769,20240311,202403,2024,2024.1945,BUS,AIRLINE,,,,,,BUS,,,DOM,DOMINICAN REPUBLIC,DOM,,,,,,,,0,172,172,17,4,-5.0,32,4,32,-8.63629975074359,4,"Port-Au-Prince, Ouest, Haiti",HA,HA11,18.5392,-72.335,-70311,1,Dominican Republic,DR,DR,19.0,-70.666667,DR,1,Dominican Republic,DR,DR,19.0,-70.666667,DR,20240311,https://www.miragenews.com/un-security-council-denounces-surge-in-haiti-1192135/
1163079894,20240311,202403,2024,2024.1945,,,,,,,,,,,CAN,SASKATCHEWAN,CAN,,,,,,,,1,192,192,19,4,-9.5,10,1,10,0.34364261168385,0,,,,,,,0,,,,,,,0,,,,,,,20240311,https://edmonton.ctvnews.ca/edmonton-area-weather/josh-classen-s-forecast-above-average-temperatures-are-here-to-stay-1.6802749
